test_month,fit_cutoff,k,functional_dimensions,total_model_dimensions,train_rows,train_positive,train_positive_pct,test_rows,test_positive,test_prevalence,average_precision,ap_lift_over_prevalence,roc_auc,log_loss,brier_score,recall_at_05pct,recall_at_10pct,recall_at_20pct,convergence_warning,n_iter,coef_finite
2017-12,2017-12-01,10,20,33,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.06413398575685234,0.8602692542032285,0.4305901697821855,0.35852879894072565,0.07306306767086006,0.0413625304136253,0.072992700729927,0.14841849148418493,0,30,True
2017-12,2017-12-01,15,30,43,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.07040331571570198,0.9443636971792336,0.4575897434430084,0.40009998797908924,0.07837338836924887,0.04866180048661801,0.08759124087591241,0.16058394160583941,0,26,True
2017-12,2017-12-01,20,40,53,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.06981556959301793,0.9364798909155909,0.45144883786807516,0.405623842482027,0.07872881064841719,0.058394160583941604,0.09732360097323602,0.15571776155717762,0,31,True
2017-12,2017-12-01,23,46,59,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.06976182037623613,0.935758919061289,0.4521236364538118,0.40539568473765947,0.08043003616833871,0.058394160583941604,0.09732360097323602,0.14841849148418493,0,32,True
2017-12,2017-12-01,25,50,63,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.07035433658620188,0.9437067094883965,0.4522829175334132,0.40207327135867615,0.08049451196436765,0.058394160583941604,0.09245742092457421,0.1435523114355231,0,25,True
2017-12,2017-12-01,27,54,67,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.07004166872101288,0.939512699900107,0.450826020233466,0.4086312826475994,0.08188564331580489,0.058394160583941604,0.08759124087591241,0.1411192214111922,0,27,True
2017-12,2017-12-01,30,60,73,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.07017164906396353,0.9412562075173503,0.4521212520065123,0.41202937111492904,0.08324379979304329,0.06082725060827251,0.09002433090024331,0.1435523114355231,0,30,True
2018-01,2018-01-01,0,0,13,41148,1763,4.28453387770973,7069,403,0.05700947800254633,0.08022153384546259,1.4071613467830646,0.5889659685571536,0.21878108099346202,0.05376271174696847,0.10173697270471464,0.15632754342431762,0.2853598014888337,0,16,True
2018-01,2018-01-01,1,2,15,41148,1763,4.28453387770973,7069,403,0.05700947800254633,0.08573196901119665,1.5038195755338688,0.6016882085230856,0.22948274418075462,0.05449924078055472,0.10918114143920596,0.17866004962779156,0.3200992555831266,0,48,True
2018-01,2018-01-01,2,4,17,41148,1763,4.28453387770973,7069,403,0.05700947800254633,0.0643682178222778,1.129079235200203,0.5201265784146654,0.22571281408335356,0.05424783693384783,0.06699751861042183,0.0967741935483871,0.1935483870967742,0,46,True
2018-01,2018-01-01,3,6,19,41148,1763,4.28453387770973,7069,403,0.05700947800254633,0.061660364801772845,1.0815809399100056,0.5075811551378463,0.22724391979965453,0.054345898493348574,0.05955334987593052,0.08933002481389578,0.1761786600496278,0,67,True
2018-01,2018-01-01,4,8,21,41148,1763,4.28453387770973,7069,403,0.05700947800254633,0.05867804553701533,1.0292682478937007,0.48993819977531256,0.2290801304407831,0.05447213400576029,0.062034739454094295,0.0794044665012407,0.17866004962779156,0,65,True
